motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
2667240,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,39,4.028,1309,0.726,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.LHL2, AL.VLNPL2]",AL,2,AL.MB,2,AL.LH,2,AL.VLNP,2
2086715,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,28,4.532,1309,0.726,AL,1,2,2,"[AL.LHL2, AL.VLNPL2] -> ALL1 -> [ALL2, AL.MBL2]",AL.LH,2,AL.VLNP,2,AL,2,AL.MB,2
1749134,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,7,2.257,2076,1.152,AL,1,2,2,"[ALL2, GNGL2] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,GNG,2,AL.LH,2,AL.MB,2
1295540,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,9,2.78,1360,0.755,AL,1,2,2,"[ALL2, LHL2] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,LH,2,AL.LH,2,AL.MB,2
1191910,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,22,4.383,1309,0.726,AL,1,2,2,"[AL.MBL2, AL.VLNPL2] -> ALL1 -> [ALL2, AL.LHL2]",AL.MB,2,AL.VLNP,2,AL,2,AL.LH,2
1184757,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,35,7.561,1309,0.726,AL,1,2,2,"[AL.LHL2, AL.MBL2] -> ALL1 -> [ALL2, AL.VLNPL2]",AL.LH,2,AL.MB,2,AL,2,AL.VLNP,2
965353,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,6,2.327,1273,0.706,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.GNGL2, AL.LHL2]",AL,2,AL.MB,2,AL.GNG,2,AL.LH,2
938766,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,10,3.95,1295,0.719,AL,1,2,2,"[ALL2, AL.SNPL2] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.SNP,2,AL.LH,2,AL.MB,2
156830,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,10,3.67,1061,0.589,AL,1,2,2,"[AL.GNGL1, AL.PENPL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.GNG,1,AL.PENP,1,AL,2,AL.MB,2
141812,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,10,2.936,1130,0.627,AL,1,2,2,"[AL.GNGL1, AL.PENPL1] -> ALL1 -> [ALL2, AL.LHL2]",AL.GNG,1,AL.PENP,1,AL,2,AL.LH,2
96139,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,10,2.83,367,0.204,AL,1,2,2,"[AL.GNGL1, AL.PENPL1] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL.GNG,1,AL.PENP,1,AL.LH,2,AL.MB,2
74499,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,13,6.549,1060,0.588,AL,1,2,2,"[AL.INPL1, AL.PENPL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.INP,1,AL.PENP,1,AL,2,AL.MB,2
74196,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,8,4.935,1060,0.588,AL,1,2,2,"[AL.GNGL1, AL.INPL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.GNG,1,AL.INP,1,AL,2,AL.MB,2
74196,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,8,4.935,1060,0.588,AL,1,2,2,"[AL.GNGL1, AL.SNPL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.GNG,1,AL.SNP,1,AL,2,AL.MB,2
73859,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,12,6.44,1060,0.588,AL,1,2,2,"[AL.PENPL1, AL.SNPL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.PENP,1,AL.SNP,1,AL,2,AL.MB,2
73446,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,7,4.838,1060,0.588,AL,1,2,2,"[AL.GNGL1, AL.LHL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.GNG,1,AL.LH,1,AL,2,AL.MB,2
70832,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,10,5.948,1060,0.588,AL,1,2,2,"[AL.LHL1, AL.PENPL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.LH,1,AL.PENP,1,AL,2,AL.MB,2
63935,mixed,LAT->FWD,LAT,FWD,2,0,2,1802,8,4.04,1129,0.627,AL,1,2,2,"[AL.GNGL1, AL.INPL1] -> ALL1 -> [ALL2, AL.LHL2]",AL.GNG,1,AL.INP,1,AL,2,AL.LH,2
966,mixed,LAT->mix,LAT,mix,1,0,3,1802,8,4.989,919,0.51,AL,1,2,2,"[AL.GNGL1, AL.PENPL1] -> ALL1 -> [ALL2, AL.INPL1]",AL.GNG,1,AL.PENP,1,AL,2,AL.INP,1
890,mixed,LAT->mix,LAT,mix,1,0,3,1802,6,4.516,918,0.509,AL,1,2,2,"[AL.PENPL1, AL.SNPL1] -> ALL1 -> [ALL2, AL.INPL1]",AL.PENP,1,AL.SNP,1,AL,2,AL.INP,1
860,mixed,LAT->mix,LAT,mix,1,0,3,1802,5,4.238,918,0.509,AL,1,2,2,"[AL.LHL1, AL.PENPL1] -> ALL1 -> [ALL2, AL.INPL1]",AL.LH,1,AL.PENP,1,AL,2,AL.INP,1
618,mixed,LAT->mix,LAT,mix,1,0,3,1802,4,3.226,920,0.511,AL,1,2,2,"[AL.LHL1, AL.PENPL1] -> ALL1 -> [ALL2, AL.VLNPL1]",AL.LH,1,AL.PENP,1,AL,2,AL.VLNP,1
613,mixed,LAT->mix,LAT,mix,1,0,3,1802,6,5.388,918,0.509,AL,1,2,2,"[AL.GNGL1, AL.SNPL1] -> ALL1 -> [ALL2, AL.INPL1]",AL.GNG,1,AL.SNP,1,AL,2,AL.INP,1
583,mixed,LAT->mix,LAT,mix,1,0,3,1802,5,4.937,918,0.509,AL,1,2,2,"[AL.GNGL1, AL.LHL1] -> ALL1 -> [ALL2, AL.INPL1]",AL.GNG,1,AL.LH,1,AL,2,AL.INP,1
582,mixed,LAT->mix,LAT,mix,1,0,3,1802,8,5.8,156,0.087,AL,1,2,2,"[AL.GNGL1, AL.PENPL1] -> ALL1 -> [AL.INPL1, AL.MBL2]",AL.GNG,1,AL.PENP,1,AL.INP,1,AL.MB,2
521,mixed,LAT->mix,LAT,mix,1,0,3,1802,5,4.736,917,0.509,AL,1,2,2,"[AL.LHL1, AL.SNPL1] -> ALL1 -> [ALL2, AL.INPL1]",AL.LH,1,AL.SNP,1,AL,2,AL.INP,1
