motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
2600,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,268,22.333,LX,1,2,2,"[CX.LXL1, LX.VLNPL2] -> LXL1 -> [LXL2, LX.VMNPL2]",CX.LX,1,LX.VLNP,2,LX,2,LX.VMNP,2
2600,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,39029,3252.417,LX,1,2,2,"[CX.LXL1, LX.VLNPL2] -> LXL1 -> [LXL2, OLL2]",CX.LX,1,LX.VLNP,2,LX,2,OL,2
2600,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,39095,3257.917,LX,1,2,2,"[LX.VLNPL2, OLL2] -> LXL1 -> [LXL2, LX.VMNPL2]",LX.VLNP,2,OL,2,LX,2,LX.VMNP,2
2364,mixed,BWD->FWD,BWD,FWD,2,2,0,12,2,1.021,677,56.417,LX,1,2,2,"[LX.VLNPL2, VLNP.VMNPL2] -> LXL1 -> [LXL2, VLNPL2]",LX.VLNP,2,VLNP.VMNP,2,LX,2,VLNP,2
2340,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,234,19.5,LX,1,2,2,"[CX.LXL1, INP.VLNPL2] -> LXL1 -> [LXL2, LX.VLNPL2]",CX.LX,1,INP.VLNP,2,LX,2,LX.VLNP,2
2340,mixed,mix->FWD,mix,FWD,2,1,1,12,1,1.0,325,27.083,LX,1,2,2,"[CX.LXL1, VLNP.VMNPL2] -> LXL1 -> [LXL2, LX.VLNPL2]",CX.LX,1,VLNP.VMNP,2,LX,2,LX.VLNP,2
2340,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,586,48.833,LX,1,2,2,"[INP.VLNPL2, LX.VLNPL2] -> LXL1 -> [LXL2, VLNPL2]",INP.VLNP,2,LX.VLNP,2,LX,2,VLNP,2
2340,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,39061,3255.083,LX,1,2,2,"[INP.VLNPL2, OLL2] -> LXL1 -> [LXL2, LX.VLNPL2]",INP.VLNP,2,OL,2,LX,2,LX.VLNP,2
2340,mixed,BWD->FWD,BWD,FWD,2,2,0,12,1,1.0,39152,3262.667,LX,1,2,2,"[OLL2, VLNP.VMNPL2] -> LXL1 -> [LXL2, LX.VLNPL2]",OL,2,VLNP.VMNP,2,LX,2,LX.VLNP,2
2128,mixed,BWD->FWD,BWD,FWD,2,2,0,12,2,1.046,620,51.667,LX,1,2,2,"[LX.VLNPL2, VLNPL2] -> LXL1 -> [LXL2, LX.VMNPL2]",LX.VLNP,2,VLNP,2,LX,2,LX.VMNP,2
