waist,n_pattern,massa,massa_max
VESL5,878913,65025656.0,53986.0
LAL.LOL4,379263,64993810.0,100152.0
AOTU.SPSL5,225016,62732037.0,512769.0
GNG.AVLPL4,206293,60298164.0,1257038.0
IPSL5,464992,59853780.0,67175.0
LOP.PLPL4,51398,58793330.0,2801521.0
SLP.LHL5,106927,58470452.0,353720.0
PVLPL3,133500,57451693.0,1621813.0
AVLP.LOL5,111347,57227666.0,1265472.0
LO.MEL3,106618,57021023.0,367391.0
ICL.CREL5,755084,55649826.0,54110.0
VES.LOL2,105178,55599494.0,137622.0
PLP.AVLPL4,178222,55274528.0,1529163.0
ICL.LOL4,254143,54868483.0,82320.0
SMP.AOTUL3,56337,54672033.0,1467686.0
SADL3,663031,54300751.0,28424.0
SMP.VESL5,443486,53148026.0,79266.0
ICL.AVLPL5,422542,53108524.0,127008.0
ICL.AMMCL5,420582,52996321.0,93750.0
ICL.VESL5,396483,52890105.0,238842.0
PVLP.SPSL5,261184,52581046.0,98496.0
MB_ML.SMPL4,55315,52490947.0,1152000.0
SMP.GNGL4,676422,51650380.0,46872.0
ME.PLPL2,231836,50293132.0,179791.0
AOTU.IBL5,80037,50034671.0,738690.0
VES.IBL5,935057,49922521.0,17226.0
SAD.WEDL3,711103,49830112.0,30005.0
LO.PLPL4,452951,49472370.0,122154.0
IB.AVLPL4,1121505,48850080.0,7456.0
ME.AVLPL3,10576,46054968.0,390208.0
SLP.ICLL3,689484,45259431.0,32688.0
LAL.GNGL5,376924,44140484.0,107056.0
LH.PLPL4,742199,42615546.0,16599.0
SAD.IPSL4,944577,42577283.0,19746.0
IPSL4,540316,42012118.0,96768.0
LAL.CREL4,895165,39935059.0,7182.0
AL.PLPL2,227743,38909444.0,111898.0
LOP.IPSL2,59119,38419227.0,471896.0
SCL.SMPL4,705858,37873710.0,26068.0
LO.SPSL3,315392,37183759.0,14678.0
LAL.PLPL2,630795,36310810.0,24504.0
LAL.VESL5,661019,36214206.0,38153.0
PRWL3,157455,35546003.0,48747.0
SAD.AVLPL4,267557,34541680.0,74779.0
CRE.SPSL5,617309,33710755.0,17316.0
ICL.PVLPL5,519108,33166913.0,9975.0
GNGL3,123847,33066183.0,170091.0
AVLP.SLPL5,128256,32307183.0,325047.0
ICL.GORL5,403341,32254159.0,31959.0
AOTUL4,284799,32239328.0,176329.0
SMP.LOL3,72058,32214546.0,110500.0
ME.AVLPL4,104617,31853446.0,295312.0
CRE.LALL5,437931,31792267.0,51398.0
LO.PVLPL5,14971,31107268.0,1625794.0
AVLP.SCLL4,412277,30963425.0,27300.0
SMP.PRWL2,32741,30897637.0,523884.0
SPS.GNGL4,536528,30628024.0,5625.0
LO.AVLPL5,20173,30533585.0,1024376.0
VES.SPSL5,536090,30470839.0,12558.0
WED.IPSL5,835235,30239662.0,2058.0
LAL.NOL5,3456,30107091.0,4319084.0
SAD.ALL2,406743,29973383.0,31460.0
IPS.SPSL5,231572,29625775.0,44578.0
AVLP.GORL5,433361,29430681.0,25525.0
PLP.ICLL3,542536,29404811.0,15072.0
MEL5,7243,29247428.0,1151864.0
GNG.LALL5,225124,28788164.0,64035.0
WED.ALL2,329976,28724252.0,34272.0
GNG.IPSL5,192591,28522038.0,58560.0
SMP.CANL4,464091,28391685.0,36480.0
VES.PLPL4,864120,28257687.0,7266.0
IPS.SPSL4,626531,28250284.0,8190.0
PVLP.VESL5,309454,28076372.0,75600.0
AVLP.MEL4,177381,27731934.0,174420.0
IPS.LOPL2,60642,27200420.0,622002.0
SIPL4,756526,26983454.0,6825.0
AVLP.PLPL5,226249,26796957.0,41580.0
SMP.FLAL3,172936,26324552.0,193978.0
CREL4,551022,25950940.0,16473.0
SMP.SIPL4,621659,25911679.0,5596.0
MB_CAL3,20245,25798453.0,784908.0
WED.AVLPL4,266750,25788758.0,34032.0
SMP.FBL5,23348,25285547.0,1045726.0
SMP.IBL5,370253,24846558.0,32504.0
LH.SLPL4,225478,24702757.0,138240.0
SPS.CREL5,630570,23943598.0,4900.0
GNG.LOL1,300847,23867986.0,29094.0
LO.SPSL5,218911,23845051.0,106733.0
SPS.PLPL5,268020,23666189.0,59535.0
IBL5,309355,23439660.0,11700.0
IPS.GNGL5,115666,23293436.0,126423.0
WEDL3,490820,23121343.0,7532.0
PLP.IPSL5,115232,23074558.0,62286.0
IB.SPSL5,340532,23074334.0,8160.0
PVLP.LALL4,143754,22857051.0,77130.0
PLP.LALL5,222521,21941977.0,30560.0
LO.VESL3,76243,21712475.0,204031.0
MB_ML.MB_VLL2,52518,21697970.0,126360.0
PRW.GNGL3,32753,21619139.0,129292.0
PLPL2,447641,21264116.0,30464.0
IPS.PLPL4,617761,21083668.0,5956.0
SPS.SADL4,601241,21030198.0,3180.0
GNG.SPSL4,456798,20975768.0,52597.0
SPS.LOL3,255878,20975709.0,17901.0
PLP.SLPL5,348583,20667570.0,13928.0
LOP.IPSL5,21463,20430403.0,474918.0
AOTU.IBL4,71639,20169950.0,179712.0
VES.ICLL4,473106,19980925.0,5760.0
PLP.LOL1,37201,19633080.0,250470.0
ICL.IBL4,421605,19411978.0,7040.0
PLP.ICLL5,514289,18919351.0,6048.0
ME.SPSL2,18977,18839847.0,466818.0
SMPL2,181234,18733172.0,63872.0
PLP.SLPL4,517749,18605195.0,4603.0
SAD.AMMCL3,173900,18198586.0,25526.0
SAD.AVLPL3,91800,17712549.0,81401.0
AVLP.ICLL3,340745,17480869.0,18396.0
AOTUL3,6909,17453690.0,232848.0
FBL4,50416,17124771.0,279794.0
PLP.IPSL2,52388,17102698.0,34848.0
WED.PVLPL4,241743,17032642.0,16060.0
LO.PVLPL3,43479,16839321.0,350962.0
LH.SLPL5,75207,16819901.0,139316.0
AOTU.IPSL5,70286,16695129.0,129539.0
ICL.SMPL4,502743,16545326.0,11144.0
MB_VL.MB_MLL2,38174,16456831.0,334152.0
SMP.IBL4,459721,16452328.0,5188.0
FB.LALL5,30059,16320456.0,244422.0
IB.VESL5,317699,15995968.0,11820.0
SAD.WEDL4,285004,15530309.0,14819.0
SMP.ICLL4,264362,15506359.0,59680.0
LAL.CREL5,170017,15491410.0,75456.0
LAL.CREL3,401548,15304399.0,2520.0
AVLP.LALL5,77278,15261844.0,199954.0
PRW.SMPL3,82012,15158838.0,71775.0
SMP.PRWL4,244454,15145056.0,24192.0
ALL3,10752,15114936.0,473969.0
LH.CREL4,364776,15054019.0,6288.0
SCLL4,613033,14920303.0,1440.0
CRE.LALL2,146314,14642204.0,33696.0
IPSL2,338548,14291807.0,11778.0
LO.PVLPL2,37458,14288474.0,60030.0
SCL.SLPL4,216898,14057854.0,15660.0
PLP.GNGL5,173820,14049806.0,22680.0
PVLP.AMMCL5,220058,13862978.0,14942.0
PLP.VESL3,403591,13862938.0,9444.0
FB.LALL4,53968,13711990.0,118939.0
SADL2,197907,13002172.0,5462.0
IPS.SADL2,182110,12995739.0,18564.0
GNG.IPSL2,171645,12687379.0,54040.0
FBL5,50557,12549461.0,74963.0
PRWL2,53584,12466944.0,124065.0
GNG.VESL3,418269,12410886.0,3360.0
LH.SLPL3,134735,12354278.0,67771.0
IPS.VESL5,101682,12191236.0,31059.0
WED.AVLPL5,109013,12101499.0,139063.0
ICL.AOTUL4,402593,11509255.0,2352.0
LHL5,143113,11493359.0,32853.0
PLP.SCLL3,265148,11488405.0,5908.0
SMP.MB_MLL2,30924,11420541.0,231420.0
LAL.SADL4,370629,11334935.0,3276.0
SPS.LALL5,181814,11313653.0,20645.0
LH.SIPL5,113247,11052461.0,11592.0
SPS.MEL3,29768,10771662.0,216108.0
