motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
52960,mixed,lat->mix,lat,mix,1,0,3,3,3,2.065,1896,632.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL3, PLP.ALL2]",MB_CA.MB_ML,2,MB_ML,2,LH,3,PLP.AL,2
45722,mixed,lat->mix,lat,mix,1,0,3,3,3,1.623,2267,755.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [LHL2, LHL3]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,LH,2,LH,3
43342,mixed,lat->mix,lat,mix,1,0,3,3,3,1.091,1666,555.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [PLPL2, PLPL3]",MB_CA.MB_ML,2,MB_ML,2,PLP,2,PLP,3
33696,mixed,lat->mix,lat,mix,1,0,3,3,1,1.0,1896,632.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL3, PLP.VESL2]",MB_CA.MB_ML,2,MB_ML,2,LH,3,PLP.VES,2
29932,mixed,lat->mix,lat,mix,1,0,3,3,3,1.732,2288,762.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [LHL3, PLPL2]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,LH,3,PLP,2
28274,mixed,lat->mix,lat,mix,1,0,3,3,3,1.972,2176,725.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL2] -> SIP.LHL2 -> [LHL3, PLP.ALL2]",MB_CA.MB_ML,2,MB_CA.MB_VL,2,LH,3,PLP.AL,2
27217,mixed,lat->mix,lat,mix,1,0,3,3,3,1.642,1645,548.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL2, PLPL3]",MB_CA.MB_ML,2,MB_ML,2,LH,2,PLP,3
26480,mixed,lat->mix,lat,mix,1,0,3,3,3,2.065,1896,632.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL2] -> SIP.LHL2 -> [LHL3, LH.CREL2]",MB_CA.MB_ML,2,MB_ML,2,LH,3,LH.CRE,2
8867,mixed,mix->mix,mix,mix,1,1,2,3,3,1.288,2084,694.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [PLPL2, PLPL3]",LH,3,MB_CA.MB_ML,2,PLP,2,PLP,3
8720,mixed,mix->mix,mix,mix,1,1,2,3,2,1.07,1894,631.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL3] -> SIP.LHL2 -> [LHL3, PLPL2]",MB_CA.MB_ML,2,MB_ML,3,LH,3,PLP,2
8424,mixed,mix->mix,mix,mix,1,1,2,3,1,1.0,3798,1266.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_MLL3] -> SIP.LHL2 -> [LHL3, PLPL2]",MB_CA.MB_ML,2,MB_CA.MB_ML,3,LH,3,PLP,2
7697,mixed,mix->mix,mix,mix,1,1,2,3,3,2.635,2063,687.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LHL2, PLPL3]",LH,3,MB_CA.MB_ML,2,LH,2,PLP,3
6070,mixed,mix->mix,mix,mix,1,1,2,3,3,2.106,1972,657.333,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [PLPL3, PLP.ALL2]",LH,3,MB_CA.MB_ML,2,PLP,3,PLP.AL,2
5295,mixed,mix->mix,mix,mix,1,1,2,3,2,1.043,1552,517.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL3] -> SIP.LHL2 -> [PLPL2, PLPL3]",MB_CA.MB_ML,2,MB_ML,3,PLP,2,PLP,3
5184,mixed,mix->mix,mix,mix,1,1,2,3,1,1.0,3456,1152.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_MLL3] -> SIP.LHL2 -> [PLPL2, PLPL3]",MB_CA.MB_ML,2,MB_CA.MB_ML,3,PLP,2,PLP,3
5100,mixed,mix->mix,mix,mix,1,1,2,3,2,1.404,1873,624.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL3] -> SIP.LHL2 -> [LHL2, LHL3]",MB_CA.MB_ML,2,MB_ML,3,LH,2,LH,3
4843,mixed,mix->mix,mix,mix,1,1,2,3,2,1.255,1869,623.0,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [CREL3, LHL2]",LH,3,MB_CA.MB_ML,2,CRE,3,LH,2
4804,mixed,mix->mix,mix,mix,1,1,2,3,2,1.276,1782,594.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL3] -> SIP.LHL2 -> [LHL3, PLP.ALL2]",MB_CA.MB_ML,2,MB_ML,3,LH,3,PLP.AL,2
17736,mixed,mix->FF,mix,FF,2,1,1,3,2,1.105,2022,674.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL3] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_CA.MB_ML,2,MB_ML,3,LH,3,PLP,3
16848,mixed,mix->FF,mix,FF,2,1,1,3,1,1.0,3926,1308.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_MLL3] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_CA.MB_ML,2,MB_CA.MB_ML,3,LH,3,PLP,3
10200,mixed,mix->FF,mix,FF,2,1,1,3,2,1.404,1973,657.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, SIP.LHL3] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_CA.MB_ML,2,SIP.LH,3,LH,3,PLP,3
8424,mixed,mix->FF,mix,FF,2,1,1,3,1,1.0,1974,658.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_ML.MB_VLL3] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_CA.MB_ML,2,MB_ML.MB_VL,3,LH,3,PLP,3
4424,mixed,mix->FF,mix,FF,2,1,1,3,2,1.271,1973,657.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [PLPL3, SIP.LHL3]",LH,3,MB_CA.MB_ML,2,PLP,3,SIP.LH,3
4212,mixed,mix->FF,mix,FF,2,1,1,3,1,1.0,3687,1229.0,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_MLL3] -> SIP.LHL2 -> [LHL3, SIP.LHL3]",MB_CA.MB_ML,2,MB_CA.MB_ML,3,LH,3,SIP.LH,3
4212,mixed,mix->FF,mix,FF,2,1,1,3,1,1.0,1783,594.333,SIP.LH,2,2,2,"[MB_CA.MB_MLL2, MB_MLL3] -> SIP.LHL2 -> [LHL3, SIP.LHL3]",MB_CA.MB_ML,2,MB_ML,3,LH,3,SIP.LH,3
3544,mixed,mix->FF,mix,FF,2,1,1,3,2,1.129,1044,348.0,SIP.LH,2,2,2,"[MB_MLL2, MB_MLL3] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_ML,2,MB_ML,3,LH,3,PLP,3
3328,mixed,mix->FF,mix,FF,2,1,1,3,1,1.0,2948,982.667,SIP.LH,2,2,2,"[MB_CA.MB_MLL3, MB_MLL2] -> SIP.LHL2 -> [LHL3, PLPL3]",MB_CA.MB_ML,3,MB_ML,2,LH,3,PLP,3
3035,mixed,mix->FF,mix,FF,2,1,1,3,3,2.106,1982,660.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LH.SIPL3, PLPL3]",LH,3,MB_CA.MB_ML,2,LH.SIP,3,PLP,3
6370,mixed,mix->lat,mix,lat,0,1,3,3,3,1.973,1823,607.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LHL2, PLP.ALL2]",LH,3,MB_CA.MB_ML,2,LH,2,PLP.AL,2
4643,mixed,mix->lat,mix,lat,0,1,3,3,3,2.482,1935,645.0,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LHL2, PLPL2]",LH,3,MB_CA.MB_ML,2,LH,2,PLP,2
3386,mixed,mix->lat,mix,lat,0,1,3,3,3,2.263,1844,614.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [PLPL2, PLP.ALL2]",LH,3,MB_CA.MB_ML,2,PLP,2,PLP.AL,2
3185,mixed,mix->lat,mix,lat,0,1,3,3,3,1.973,1823,607.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LHL2, LH.CREL2]",LH,3,MB_CA.MB_ML,2,LH,2,LH.CRE,2
2699,mixed,mix->lat,mix,lat,0,1,3,3,2,1.485,1823,607.667,SIP.LH,2,2,2,"[LHL3, MB_CA.MB_MLL2] -> SIP.LHL2 -> [LHL2, LH.MB_VLL2]",LH,3,MB_CA.MB_ML,2,LH,2,LH.MB_VL,2
