motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
4440831480,mixed,mix->FB,mix,FB,1,2,1,1,1,1.0,2176,2176.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_MLL2, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_VLL2, MB_MLL2]",MB_CA.MB_ML,2,MB_CA.MB_VL,3,MB_CA.MB_VL,2,MB_ML,2
4440831480,mixed,mix->FB,mix,FB,1,2,1,1,1,1.0,2176,2176.0,MB_ML.MB_CA,3,2,2,"[MB_CA.MB_VLL2, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL2, MB_MLL2]",MB_CA.MB_VL,2,MB_CA.MB_VL,3,MB_CA.MB_ML,2,MB_ML,2
4437881198,mixed,mix->lat,mix,lat,1,0,3,2282,8,1.0,32730,14.343,LO,3,2,2,"[LO.MEL3, MEL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",LO.ME,3,ME,2,LO.LOP,3,ME.LOP,3
4437880163,mixed,FF->lat,FF,lat,2,0,2,2282,8,1.0,32577,14.276,LO,3,2,2,"[GNG.MEL2, MEL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",GNG.ME,2,ME,2,LO.LOP,3,ME.LOP,3
4425078493,mixed,FF->mix,FF,mix,2,1,1,2282,4,1.664,18561,8.134,LO,3,2,2,"[LO.LOPL2, ME.LOL2] -> LOL3 -> [ME.LOL3, ME.LOPL2]",LO.LOP,2,ME.LO,2,ME.LO,3,ME.LOP,2
4412189682,mixed,mix->lat,mix,lat,1,0,3,2282,8,1.0,14542,6.372,LO,3,2,2,"[LO.MEL3, ME.LOL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",LO.ME,3,ME.LO,2,LO.LOP,3,ME.LOP,3
4412189626,mixed,FF->lat,FF,lat,2,0,2,2282,8,1.0,14389,6.305,LO,3,2,2,"[GNG.MEL2, ME.LOL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",GNG.ME,2,ME.LO,2,LO.LOP,3,ME.LOP,3
4398376506,mixed,mix->mix,mix,mix,1,1,2,2282,10,1.26,20776,9.104,LO,3,2,2,"[LOL2, LO.LOPL3] -> LOL3 -> [ME.LOL2, ME.LOL3]",LO,2,LO.LOP,3,ME.LO,2,ME.LO,3
4361735745,mixed,lat->FB,lat,FB,0,2,2,2282,6,1.749,38566,16.9,LO,3,2,2,"[LO.LOPL3, ME.LOL3] -> LOL3 -> [LO.LOPL2, MEL2]",LO.LOP,3,ME.LO,3,LO.LOP,2,ME,2
4312698614,mixed,mix->mix,mix,mix,1,1,2,2282,10,1.231,20776,9.104,LO,3,2,2,"[LO.LOPL3, ME.LOL2] -> LOL3 -> [LOL2, ME.LOL3]",LO.LOP,3,ME.LO,2,LO,2,ME.LO,3
4272600960,mixed,FF->mix,FF,mix,2,1,1,52,1,1.0,3410,65.577,MB_ML,3,2,2,"[AL.MB_CAL2, MB_MLL2] -> MB_MLL3 -> [MB_CA.MB_MLL2, MB_CA.MB_MLL3]",AL.MB_CA,2,MB_ML,2,MB_CA.MB_ML,2,MB_CA.MB_ML,3
4262682326,mixed,FF->mix,FF,mix,2,1,1,2282,5,1.845,20406,8.942,LO,3,2,2,"[LO.LOPL2, ME.LOL2] -> LOL3 -> [MEL3, ME.LOPL2]",LO.LOP,2,ME.LO,2,ME,3,ME.LOP,2
4255057822,mixed,mix->mix,mix,mix,1,1,2,2282,5,2.0,22223,9.738,LO,3,2,2,"[LO.LOPL2, LO.LOPL3] -> LOL3 -> [MEL3, ME.LOL2]",LO.LOP,2,LO.LOP,3,ME,3,ME.LO,2
4246120440,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,2966,2966.0,MB_ML.MB_CA,3,2,2,"[AL.MB_CAL2, MB_CA.MB_MLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_VLL2, MB_CA.MB_VLL3]",AL.MB_CA,2,MB_CA.MB_ML,3,MB_CA.MB_VL,2,MB_CA.MB_VL,3
4246120440,mixed,FF->lat,FF,lat,2,0,2,1,1,1.0,2966,2966.0,MB_ML.MB_CA,3,2,2,"[AL.MB_CAL2, MB_CA.MB_VLL2] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL3, MB_CA.MB_VLL3]",AL.MB_CA,2,MB_CA.MB_VL,2,MB_CA.MB_ML,3,MB_CA.MB_VL,3
4246120440,mixed,mix->mix,mix,mix,1,1,2,1,1,1.0,2966,2966.0,MB_ML.MB_CA,3,2,2,"[AL.MB_CAL2, MB_CA.MB_VLL3] -> MB_ML.MB_CAL3 -> [MB_CA.MB_MLL3, MB_CA.MB_VLL2]",AL.MB_CA,2,MB_CA.MB_VL,3,MB_CA.MB_ML,3,MB_CA.MB_VL,2
