waist,n_pattern,massa,massa_max
PLP.LOPL2,2574,311811.0,11162.0
AL.GNGL2,4999,310211.0,4704.0
PVLPL3,4972,307124.0,8694.0
IPS.GNGL2,8736,292389.0,848.0
IPS.SPSL3,13051,290494.0,320.0
CRE.SLPL2,18713,288995.0,135.0
AL.AVLPL2,5924,281968.0,1920.0
GNG.AMMCL2,6378,275451.0,896.0
LO.SLPL2,5805,274095.0,2028.0
GNG.LHL3,6763,273703.0,2304.0
MB_PEDL3,6211,270957.0,288.0
LAL.IPSL2,11807,270329.0,480.0
WED.SADL2,9509,268628.0,1344.0
LH.SMPL3,5628,267080.0,2039.0
GNG.SPSL2,12296,266227.0,378.0
GNG.LALL2,5782,264473.0,1764.0
AMMC.PLPL2,9846,259960.0,400.0
FBL3,1753,259726.0,2100.0
AL.LHL3,1987,259661.0,15134.0
GNG.IPSL1,5347,258082.0,2184.0
LALL3,8774,250241.0,736.0
SAD.IPSL3,6251,247143.0,1645.0
CRE.PLPL2,13900,235696.0,108.0
GNG.ICLL3,7707,232098.0,896.0
SPS.GNGL3,6696,229266.0,875.0
GNG.PLPL3,7159,223303.0,1008.0
IPS.AMMCL2,7311,221261.0,1375.0
PLP.ICLL2,6581,220708.0,1155.0
SMP.CREL2,5995,218015.0,1080.0
LOP.MEL2,2931,217057.0,6059.0
LO.ICLL3,5901,214204.0,648.0
VES.GNGL2,7679,205114.0,336.0
LO.SLPL3,5044,199576.0,1292.0
ME.AVLPL2,2955,198747.0,2880.0
AL.PRWL2,4230,185547.0,1008.0
VES.PVLPL3,10712,185082.0,375.0
GNG.VESL2,6676,178069.0,432.0
VES.AVLPL3,7085,177835.0,900.0
GNG.AVLPL3,7718,177254.0,884.0
GNG.AMMCL1,1821,175939.0,1560.0
PRW.SLPL2,3128,172400.0,1516.0
LAL.LOL3,2682,168192.0,1360.0
GNG.PVLPL3,5428,165987.0,924.0
SIPL3,6010,155997.0,420.0
VES.PLPL3,10594,155457.0,90.0
SPS.PLPL2,8306,153699.0,180.0
SPS.PLPL3,4861,147842.0,1328.0
PLP.IPSL3,6522,147442.0,1563.0
LO.IBL2,3421,142748.0,1408.0
LA.MEL1,103,137660.0,39284.0
LAL2,132,135225.0,9228.0
WEDL2,5967,128091.0,366.0
SPS.IPSL3,4902,127532.0,592.0
IPS.LOL1,565,125113.0,9620.0
AME.PLPL2,1704,122727.0,1960.0
IPS.SPSL1,1757,118598.0,3654.0
LAL.GNGL3,4909,116087.0,324.0
GNG.LOL2,1610,112892.0,2079.0
LAL.LHL3,5012,108258.0,270.0
GNG.SMPL3,2833,105801.0,1344.0
GNG.IBL2,5951,100712.0,160.0
SPS.LALL2,5076,97905.0,245.0
LH.CREL2,4029,93879.0,308.0
VES.ICLL3,4402,93607.0,328.0
LAL.AMMCL2,3672,92042.0,320.0
AME.PLPL1,1305,89671.0,1200.0
IPS.WEDL3,3866,87940.0,252.0
SAD.GNGL3,4115,87671.0,224.0
MB_CA.MB_VLL2,855,86066.0,3856.0
SPS.IBL3,4919,85962.0,112.0
SCL.PLPL3,3586,85806.0,504.0
GNG.ALL1,1070,84702.0,2989.0
SMP.AOTUL2,3542,84154.0,324.0
IPS.AVLPL3,3407,84145.0,560.0
VESL3,5767,83360.0,54.0
SMP.SLPL3,2332,80912.0,396.0
PLP.AVLPL2,1093,80516.0,1269.0
GNG.SPSL3,2963,80481.0,384.0
CREL2,2994,80244.0,336.0
MB_CA.MB_MLL2,1244,79306.0,1905.0
ME.LAL1,182,79151.0,7491.0
VES.SMPL3,2681,76221.0,990.0
LAL.SADL3,2505,75064.0,640.0
SAD.VESL3,4469,74990.0,80.0
AMMC.GNGL2,3561,74334.0,224.0
GNG.LALL1,2834,71737.0,456.0
WED.IPSL3,3606,71653.0,144.0
MB_CA.MB_MLL3,816,71356.0,3638.0
GNG.SCLL3,3041,71128.0,640.0
PVLP.AVLPL2,1969,70917.0,720.0
GNG.PLPL1,3146,69864.0,160.0
SMP.IBL3,1912,69048.0,816.0
LHL1,1663,67359.0,1300.0
AMMC.WEDL3,1867,66002.0,660.0
SCL.SMPL3,2939,62829.0,282.0
LAL.IPSL3,2756,61320.0,288.0
MB_CA.MB_VLL3,613,61234.0,3299.0
LH.PLPL3,1886,61095.0,852.0
SAD.SPSL1,1668,59766.0,477.0
IB.SPSL3,1834,58675.0,486.0
AVLP.SLPL3,1617,57869.0,884.0
SMP.AOTUL3,1304,56617.0,1044.0
SPS.VESL3,2538,56214.0,252.0
WED.AVLPL3,3119,54769.0,96.0
LH.ALL1,1506,53977.0,378.0
SMP.SIPL3,931,52485.0,1176.0
CREL3,2623,49437.0,168.0
SMP.CREL3,2634,48088.0,145.0
LOP.IPSL1,1112,48017.0,975.0
SADL1,2279,46969.0,180.0
PRW.FLAL2,1680,46958.0,510.0
WED.AVLPL2,1020,46793.0,1576.0
LH.VESL1,1590,46782.0,256.0
GNG.IPSL3,1640,46501.0,878.0
LAL.NOL2,1646,46088.0,540.0
SLP.ALL3,850,42533.0,1320.0
OCG.IPSL2,1324,40757.0,410.0
SPS.ATLL3,1777,40738.0,162.0
SLP.LHL2,777,40666.0,896.0
ME.AOTUL2,853,40100.0,577.0
GNG.MEL2,414,40022.0,544.0
IB.PLPL3,1792,38645.0,168.0
MB_CA.PLPL2,2181,38032.0,108.0
WED.SADL3,1463,37278.0,522.0
NOL2,675,33884.0,574.0
LO.SCLL3,957,33150.0,364.0
MB_CAL2,2088,33106.0,124.0
AL.IPSL3,1316,32387.0,216.0
VESL2,1830,31880.0,98.0
PLP.VESL1,1155,29222.0,156.0
AVLP.GNGL3,764,28641.0,870.0
SPS.OCGL2,1343,28330.0,176.0
SAD.VESL2,1815,27558.0,80.0
AVLP.ICLL3,1371,27451.0,160.0
LOP.PVLPL3,741,27302.0,275.0
LOP.LOL1,524,26816.0,1057.0
SPS.LALL3,893,25291.0,162.0
LA.MEL2,163,24495.0,2235.0
SAD.SPSL2,1186,23865.0,210.0
ME.AOTUL3,411,23654.0,1565.0
ME.SLPL3,537,23439.0,352.0
SPS.AMMCL2,942,23201.0,180.0
PLP.LHL2,969,22535.0,210.0
LO.LALL3,718,22434.0,636.0
SMP.LALL2,936,22177.0,468.0
PLP.SCLL2,893,21034.0,360.0
AMMC.IPSL3,811,20365.0,192.0
GNG.LALL3,1043,19494.0,120.0
LAL.PLPL3,1114,18759.0,84.0
AMMC.AVLPL3,397,17718.0,720.0
SLP.GNGL3,731,17448.0,160.0
SIPL2,1152,17400.0,90.0
PLP.WEDL2,1035,17385.0,72.0
SPSL1,781,17232.0,186.0
SPS.VESL1,666,17181.0,216.0
WED.LALL3,845,16616.0,180.0
SLP.SCLL3,1153,16293.0,108.0
WED.AMMCL3,753,15925.0,144.0
MB_CA.PLPL3,838,15921.0,72.0
AVLP.ICLL2,719,15716.0,180.0
PRWL1,198,15349.0,1457.0
SIP.SMPL2,937,15264.0,48.0
PLP.MEL3,253,14872.0,840.0
PVLP.VESL3,791,13718.0,120.0
SPS.CREL3,702,13668.0,72.0
AL.MB_CAL1,200,13370.0,900.0
MB_CA.MB_PEDL3,347,13339.0,555.0
PVLP.SPSL2,771,13321.0,100.0
LAL.PVLPL3,593,13212.0,180.0
SPS.OCGL3,567,13100.0,168.0
IPS.SADL3,510,12849.0,188.0
PLP.LOPL3,170,12694.0,849.0
ME.GNGL2,576,12592.0,180.0
ME.ICLL2,65,12561.0,2430.0
AVLP.SCLL2,544,12348.0,192.0
ICL.GNGL3,660,12318.0,96.0
AOTU.VESL3,790,12153.0,66.0
GNGL1,337,11398.0,504.0
PLP.SPSL1,804,11375.0,60.0
LH.CREL3,826,11353.0,40.0
SLP.SIPL2,582,11243.0,72.0
ME.LAL3,109,11177.0,830.0
LO.LALL2,468,11048.0,144.0
FB.LALL2,67,10671.0,2415.0
SLP.PRWL3,356,10383.0,372.0
SPS.GNGL1,297,10330.0,620.0
ICL.SMPL3,268,9898.0,208.0
SMP.LOL1,230,9863.0,437.0
AMMCL3,486,9655.0,116.0
SCL.SMPL2,457,9531.0,168.0
AME.MEL2,326,9431.0,322.0
AL.SLPL1,169,9220.0,410.0
LH.SIPL3,313,9164.0,216.0
AL.VESL3,438,9060.0,64.0
WED.LALL2,535,9048.0,92.0
PLP.MB_MLL3,362,8883.0,271.0
AL.LHL1,387,8648.0,100.0
AVLP.PLPL3,296,8597.0,420.0
SPS.SADL3,464,8517.0,177.0
PLP.ATLL3,500,8413.0,90.0
ME.SLPL2,162,8112.0,632.0
WED.AMMCL2,290,7593.0,192.0
AVLP.SPSL2,395,7120.0,88.0
SPS.IPSL1,366,6841.0,108.0
LO.AOTUL3,491,6782.0,24.0
AL.SMPL3,143,6710.0,400.0
AMMC.SPSL2,312,6567.0,66.0
SPS.VESL2,482,6562.0,40.0
AVLP.AOTUL3,388,6460.0,56.0
LAL.VESL2,405,6456.0,48.0
AMMC.SADL1,293,6390.0,96.0
VESL1,371,6366.0,80.0
AL.SLPL2,196,6172.0,184.0
PRW.SMPL2,241,6138.0,155.0
GNG.ALL2,199,6002.0,176.0
SMP.ATLL2,341,6000.0,48.0
LH.SCLL3,422,5709.0,47.0
