motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
34407506,mixed,mix->mix,mix,mix,0,2,2,35584,986,2.656,38351,1.078,optic,2,2,2,"[opticL3, visual_centrifugalL2] -> opticL2 -> [opticL1, visual_projectionL2]",optic,3,visual_centrifugal,2,optic,1,visual_projection,2
33422595,mixed,mix->mix,mix,mix,1,2,1,35584,22,2.666,33766,0.949,optic,2,2,2,"[opticL3, visual_projectionL2] -> opticL2 -> [visual_centrifugalL1, visual_projectionL3]",optic,3,visual_projection,2,visual_centrifugal,1,visual_projection,3
32243505,mixed,mix->FWD,mix,FWD,3,0,1,35584,440,2.687,33766,0.949,optic,2,2,2,"[visual_centrifugalL1, visual_projectionL2] -> opticL2 -> [opticL3, visual_projectionL3]",visual_centrifugal,1,visual_projection,2,optic,3,visual_projection,3
31941210,mixed,mix->mix,mix,mix,0,2,2,311,21,3.86,43761,140.711,visual_centrifugal,2,2,2,"[visual_centrifugalL3, visual_projectionL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",visual_centrifugal,3,visual_projection,2,optic,1,optic,2
31682459,mixed,mix->mix,mix,mix,2,1,1,5452,298,15.573,19750,3.623,central,2,2,2,"[sensoryL1, sensoryL2] -> centralL2 -> [centralL1, centralL3]",sensory,1,sensory,2,central,1,central,3
31401619,mixed,mix->mix,mix,mix,0,2,2,311,30,3.639,44167,142.016,visual_centrifugal,2,2,2,"[ascendingL3, visual_projectionL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",ascending,3,visual_projection,2,optic,1,optic,2
31346963,mixed,mix->mix,mix,mix,1,2,1,35584,194,2.841,33802,0.95,optic,2,2,2,"[opticL3, visual_projectionL2] -> opticL2 -> [visual_projectionL1, visual_projectionL3]",optic,3,visual_projection,2,visual_projection,1,visual_projection,3
30688975,mixed,BWD->mix,BWD,mix,1,2,1,45,3,1.925,43732,971.822,visual_centrifugal,1,2,2,"[descendingL2, visual_projectionL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",descending,2,visual_projection,2,optic,1,optic,2
30381865,mixed,mix->FWD,mix,FWD,2,1,1,45,20,4.079,42633,947.4,visual_centrifugal,1,2,2,"[centralL1, centralL2] -> visual_centrifugalL1 -> [opticL2, visual_projectionL2]",central,1,central,2,optic,2,visual_projection,2
30111542,mixed,mix->mix,mix,mix,1,1,2,311,34,3.867,43833,140.942,visual_centrifugal,2,2,2,"[ascendingL1, visual_projectionL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",ascending,1,visual_projection,2,optic,1,optic,2
28342240,mixed,BWD->mix,BWD,mix,0,3,1,35584,313,4.009,40755,1.145,optic,2,2,2,"[opticL3, visual_projectionL3] -> opticL2 -> [opticL1, visual_projectionL2]",optic,3,visual_projection,3,optic,1,visual_projection,2
28330762,mixed,mix->mix,mix,mix,1,1,2,2715,660,6.264,80415,29.619,visual_projection,3,2,2,"[opticL2, opticL3] -> visual_projectionL3 -> [centralL2, centralL3]",optic,2,optic,3,central,2,central,3
28270747,mixed,mix->mix,mix,mix,1,1,2,311,51,5.155,71061,228.492,visual_centrifugal,2,2,2,"[centralL2, visual_centrifugalL3] -> visual_centrifugalL2 -> [opticL2, opticL3]",central,2,visual_centrifugal,3,optic,2,optic,3
27268858,mixed,mix->FWD,mix,FWD,2,1,1,311,90,4.171,47546,152.881,visual_centrifugal,2,2,2,"[centralL2, centralL3] -> visual_centrifugalL2 -> [opticL3, visual_projectionL3]",central,2,central,3,optic,3,visual_projection,3
26576552,mixed,mix->mix,mix,mix,1,1,2,45,3,2.003,43205,960.111,visual_centrifugal,1,2,2,"[centralL1, descendingL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",central,1,descending,2,optic,1,optic,2
26383060,mixed,mix->FWD,mix,FWD,2,1,1,35584,149,2.365,33802,0.95,optic,2,2,2,"[visual_centrifugalL3, visual_projectionL2] -> opticL2 -> [opticL3, visual_projectionL3]",visual_centrifugal,3,visual_projection,2,optic,3,visual_projection,3
25911572,mixed,mix->mix,mix,mix,2,0,2,311,59,8.016,66618,214.206,visual_centrifugal,2,2,2,"[ascendingL2, centralL1] -> visual_centrifugalL2 -> [opticL2, opticL3]",ascending,2,central,1,optic,2,optic,3
25894157,mixed,LAT->mix,LAT,mix,1,1,2,311,65,5.25,43492,139.846,visual_centrifugal,2,2,2,"[centralL2, visual_projectionL2] -> visual_centrifugalL2 -> [opticL1, opticL3]",central,2,visual_projection,2,optic,1,optic,3
25673290,mixed,mix->mix,mix,mix,2,0,2,311,53,6.013,71061,228.492,visual_centrifugal,2,2,2,"[centralL2, visual_projectionL1] -> visual_centrifugalL2 -> [opticL2, opticL3]",central,2,visual_projection,1,optic,2,optic,3
25448990,mixed,mix->mix,mix,mix,0,2,2,35584,43,1.821,31362,0.881,optic,2,2,2,"[opticL3, visual_centrifugalL2] -> opticL2 -> [visual_centrifugalL1, visual_projectionL2]",optic,3,visual_centrifugal,2,visual_centrifugal,1,visual_projection,2
25204013,mixed,mix->mix,mix,mix,2,1,1,35584,91,3.397,33802,0.95,optic,2,2,2,"[opticL3, visual_projectionL1] -> opticL2 -> [visual_projectionL2, visual_projectionL3]",optic,3,visual_projection,1,visual_projection,2,visual_projection,3
24953437,mixed,mix->mix,mix,mix,0,2,2,311,28,2.699,43660,140.386,visual_centrifugal,2,2,2,"[ascendingL2, ascendingL3] -> visual_centrifugalL2 -> [opticL1, opticL2]",ascending,2,ascending,3,optic,1,optic,2
24656510,mixed,mix->mix,mix,mix,2,0,2,35584,732,1.99,31362,0.881,optic,2,2,2,"[visual_centrifugalL1, visual_centrifugalL2] -> opticL2 -> [opticL3, visual_projectionL2]",visual_centrifugal,1,visual_centrifugal,2,optic,3,visual_projection,2
24642069,mixed,mix->mix,mix,mix,1,2,1,35584,33,2.77,33015,0.928,optic,2,2,2,"[opticL3, visual_centrifugalL2] -> opticL2 -> [visual_centrifugalL1, visual_projectionL3]",optic,3,visual_centrifugal,2,visual_centrifugal,1,visual_projection,3
24312246,mixed,mix->mix,mix,mix,2,1,1,311,46,9.459,75116,241.531,visual_centrifugal,2,2,2,"[ascendingL1, centralL3] -> visual_centrifugalL2 -> [opticL2, opticL3]",ascending,1,central,3,optic,2,optic,3
24234883,mixed,mix->mix,mix,mix,1,1,2,45,16,3.804,43464,965.867,visual_centrifugal,1,2,2,"[centralL1, visual_centrifugalL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",central,1,visual_centrifugal,2,optic,1,optic,2
